"Maiale, cotoletta, cruda",179
"Maiale, fegato, crudo",131
"Maiale, fesa francese, cruda",115
"Maiale, fesa francese, fettina, cotta in padella (no grassi)",162
"Maiale, filetto, cotto in padella (senza grassi)",153
"Maiale, filetto, crudo",121
"Maiale, geretto, brasato (senza grassi)",239
"Maiale, geretto, crudo",173
"Maiale, girello, crudo",127
"Maiale, lonza, cruda",138
"Maiale, sminuzzato, cotto in padella (senza grassi)",176
"Maiale, sminuzzato, crudo",134
"Maiale, spalla, arrostita al forno, ben cotta (no grassi)",221
"Maiale, spalla, arrostita al forno, cottura media (no grassi)",202
"Maiale, spalla, arrosto, crudo",181
"Maiale, spezzatino, crudo",135
"Maionese",742
"Maionese, a valore energetico ridotto",327
"Maionese, con olio di colza, fatta in casa",792
"Mais dolce, conserva",100
"Mais dolce, conserva, riscaldato",103
"Mais dolce, crudo",93
"Mais dolce, stufato",100
"Mandarino, crudo",47
"Mandorle",624
"Mandorle, tostate e salate",649
"Mandorle, tostate senza grasso e salate",637
"Mango, crudo",62
"Mango, secco",293
"Manioca, radice, cotta",131
"Manioca, radice, cruda",140
"Manzo, bistecca, cruda",165
"Manzo, carne macinata, cotta in padella (senza grassi)",211
"Manzo, carne macinata, cruda",154
"Manzo, collo, spezzatino (gulash), crudo",150
"Manzo, entrecìte, cotta (cottura media, no grassi)",162
"Manzo, entrecìte, crudo",133
"Manzo, fegato, crudo",138
"Manzo, fettina, cruda",111
"Manzo, filetto, cotto in padella (cottura media, no grassi)",128
"Manzo, filetto, crudo",105
"Manzo, girello, crudo",106
"Manzo, lingua, cruda",196
"Manzo, per bollito, magro, bollito (senza grassi)",190
"Manzo, per bollito, magro, crudo",132
"Manzo, per bollito, misto, bollito (senza grassi)",276
"Manzo, per bollito, misto, crudo",227
"Manzo, petto, cotto (senza grassi)",254
"Manzo, petto, crudo",188
"Manzo, sminuzzato, crudo",102
"Manzo, spalla, arrostita al forno (ben cotta, no grassi)",170
"Manzo, spalla, arrostita al forno (cottura al sangue, no grassi)",135
"Manzo, spalla, arrostita al forno (cottura media, no grassi)",146
"Manzo, spalla, arrosto, crudo",117
"Manzo, spezzatino, crudo",97
"Margarina",724
"Marmellata",246
"Marmellata, valore energetico ridotto con edulcoranti",136
"Marzapane",474
"Mascarpone",435
"Mela cotogna, cotta, sgocciolata (senza zucchero)",42
"Mela cotogna, cruda",41
"Mela, cruda",55
"Melanzana, al vapore",23
"Melanzana, cruda",23
"Melanzane, stufate (senza grassi)",27
"Melassa, sciroppo di melassa",274
"Mele, cotte, sgocciolate (senza zucchero)",59
"Mele, purea, non zuccherata, conserva",55
"Mele, purea, zuccherata, conserva",89
"Mele, sbucciate, secche",295
"Melone, crudo",38
"Menta, fresca",49
"Meringa",401
"Merluzzo bianco, crudo",76
"Merluzzo bianco, filetto, al vapore (senza grassi)",72
"Merluzzo nero, crudo",80
"Miele (miele di fiori)",306
"Miglio, grano sgusciato",360
"Migliotto, cotto",144
"Milanesini",431
"Millefoglie",301
"Minestrone",53
"Mirabella (susina gialla), cotta, sgocciolata (no zucchero)",54
"Mirabella (susina gialla), cruda",57
"Mirtillo rosso (cranberry), crudo",40
"Mirtillo, crudo",58
"Mora, cruda",44
"Mortadella",314
"Mozzarella",256
"Nasello, crudo",71
"Nasi Goreng, preparato",125
"Nettare d'arancia",44
"Nocciole",661
"Noce del Brasile",698
"Noce di cocco",384
"Noce di cocco, secca",681
"Noci",709
"Olio di arachidi",810
"Olio di canapa",810
"Olio di cartamo",810
"Olio di colza",810
"Olio di colza HOLL",810
"Olio di germi di grano",810
"Olio di girasole HO, raffinato",810
"Olio di noce",810
"Olio di semi di girasole",810
"Olio di semi di lino, spremuto a freddo",810
"Olio di semi di mais",810
"Olio di semi di zucca",810
"Olio di soia",810
"Olio di vinaccioli",810
"Olio d'oliva",810
"Oliva, verde, in salamoia, sgocciolata",154
"Olive farcite e fritte all'ascolana",328
"Olive, nere",176
"Omelette francese al formaggio, preparato",192
"Omelette francese al lardo, preparato",175
"Omelette francese al prosciutto, preparato",143
"Omelette francese, preparato",151
"Omelette tipo cràpes ai funghi prataiolo, preparato",125
"Omelette tipo cràpes al formaggio, preparato",194
"Omelette tipo cràpes al lardo, preparato",188
"Omelette tipo cràpes al prosciutto, preparato",155
"Omelette tipo cràpes al zucchero con cannella, preparato",177
"Omelette tipo cràpes alla Nutella",258
"Omelette tipo cràpes alle verdure, preparato",136
"Omelette tipo cràpes, preparato",165
"Orzo perlato, secco",347
"Orzotto, cotto",135
"Pancetta",467
"Pancetta (speck)",400
"Pancetta affumicata da cuocere",322
"Pane (media)",264
"Pane alle noci",332
"Pane bianco",242
"Pane bigio",234
"Pane bigio (con sale iodato)",234
"Pane contadino",241
"Pane croccante (KnÑckebrot), integrale",332
"Pane croccante (KnÑckebrot), integrale, con semi di lino",352
"Pane croccante (KnÑckebrot), integrale, con semi di sesamo",360
"Pane di segale (con lievito)",215
"Pane di segale vallesano",227
"Pane di tritello di segale",235
"Pane integrale di grano",213
"Pane parigino",255
"Pane per toast al burro",316
"Pane per toast all'olio vegetale",331
"Pane semi-bianco",240
"Pane semi-bianco (con sale iodato)",240
"Pane ticinese",323
"Panettone",354
"Pangrattato",373
"Panino",255
"Panino al cioccolato",366
"Panino al latte",309
"Panino BÅrli (farina semibianca)",215
"Panino di Sils (con sale iodato)",282
"Panino michetta",245
"Panna (media)",252
"Panna acida, semigrassa",173
"Panna acidula",336
"Panna da caffä UHT",161
"Panna intera, pastorizzata",334
"Panna intera, UHT",335
"Panna semigrassa, pastorizzata",274
"Panna semigrassa, UHT",251
"Pannocchiette di mais, sott'aceto",119
"Panpepato",404
"Panpepato ricoperto di cioccolato",444
"Pantli",553
"Papaia, matura, cruda",44
"Pappa d'avena (con latte intero, no zucchero)",147
"Pappa d'avena (con latte parz. scremato, no zucc.)",133
"Paprica",358
"Parmigiano",401
"Passera di mare, cruda",86
"Passera pianuzza, cruda",72
"Passera pianuzza, filetto, al vapore (senza grassi)",69
"Pasta al forno con prosciutto, preparato",163
"Pasta all'uovo, cotta (acqua salata)",132
"Pasta all'uovo, secca",365
"Pasta di acciughe",272
"Pasta di wasabi",308
"Pasta fresca, con ripieno di carne, cotta",174
"Pasta fresca, con ripieno spinaci/ricotta, cotta (no grassi)",178
"Pasta fresca, con ripieno spinaci/ricotta, cruda",213
"Pasta frolla (con burro), dolce, cotta al forno",530
"Pasta frolla (con burro), dolce, cruda",424
"Pasta frolla (con grasso vegetale), dolce, cotta al forno",523
"Pasta frolla (con grasso vegetale), dolce, cruda",418
"Pasta integrale, cotta (acqua salata)",152
"Pasta integrale, secca",338
"Pasta lievitata (con burro), dolce, cruda",311
"Pasta lievitata (con grassa vegetale), dolce, cruda",304
"Pasta per flammkuchen, cruda",221
"Pasta per pizza (con grasso vegetale), cruda",229
"Pasta per strudel, cruda",234
"Pasta per torta (con burro), cruda",375
"Pasta per torta (con grasso vegetale), cruda",370
"Pasta per torta, integrale (con burro), cruda",372
"Pasta per torta, integrale (con grasso vegetale), cruda",366
"Pasta sfogli di quark (con burro), cruda",401
"Pasta sfogli di quark (con grasso vegetale), cruda",396
"Pasta sfoglia (con grasso vegetale), cruda",374
"Pasta sfoglia, fatta in casa (al burro), cruda",364
"Pasta sfoglia, fatta in casa (con grasso vegetale), cruda",358
"Pasta, cotta (acqua salata)",158
"Pasta, secca",353
"Pasticcino alle pere",361
"Pastinaca, cotta",58
"Pastinaca, cruda",62
"Patata dolce, al vapore",81
"Patata dolce, cruda",81
"Patate al gratin dauphinois, preparate",128
